,Day,Day2,ID.1,ID.2,ID.3,ID.4,ID.5,ID.6,ID.7,ID.8,ID.9,ID.10,ID.11,ID.12,ID.13,ID.14,ID.15,ID.16,ID.17,ID.18,ID.19,ID.20,ID.21,ID.22,ID.23,ID.24,ID.25,ID.26,ID.27,ID.28,ID.29,ID.30,ID.31,ID.32,ID.33,ID.34,ID.35,ID.36,ID.37,ID.38,ID.39,ID.40,ID.41,ID.42,ID.43,ID.44,ID.45,ID.46,ID.47,ID.48,ID.49,ID.50,ID.51,ID.52,ID.53,ID.54,ID.55,ID.56,ID.57,ID.58,ID.59,ID.60,ID.61,ID.62,ID.63,ID.64,ID.65,ID.66,ID.67,ID.68,ID.69,ID.70,ID.71,ID.72,ID.73,ID.74,ID.75,ID.76,ID.77,V81
1,1,39814,0.070050522,0.068720368,0,0.165560707,0.106768071,0.203219069,0.106608481,0.033829964,0.363051289,0.522755501,0.100146275,0.408033153,0.16679395,0.118741642,0.073809652,0.086796103,0.207177122,0.096574707,0.025247155,0.017536609,0,0.150373933,0.047788724,0.138392075,0,0.247103975,0.037598031,0.04675231,0.108523578,0.04511999,0,0,0,0.035303109,0.158913635,0,0,0.006868072,0.325705554,0,0.076592587,0.088404493,0.313305003,0.048569451,0.052324357,0.078850177,0.007388213,0.393487342,0.220498777,0.207948135,0.356507336,0.163068267,0.882640653,0.177029619,0.16564088,0.039319984,0.291125948,0,0,0.111706808,0.217859064,0.126117752,0.006469227,0,0.030472861,0.057195345,0,0.158422473,0.141389945,0.073033868,0.662014435,0.173613701,0.265255933,0.051874347,0.138995606,0,0.062433712,0.336320023
2,9,39822,0.166828325,0.120694681,0.078879953,0.256048854,0.200786555,0.291517687,0.151147241,0.137857012,0.440883817,0.514808355,0.182315722,0.48568099,0.282012256,0.209905498,0.134704792,0.180915847,0.273907846,0.237669178,0.105120219,0.09626599,0.100437106,0.237601142,0.102718437,0.222327323,0.096603786,0.328959183,0.117215397,0.145700144,0.204804571,0.109933767,0.117829794,0.098355055,0.133806903,0.127379656,0.252185935,0.06634247,0.063576175,0.101823141,0.407065604,0.116890201,0.162664074,0.174225945,0.403676777,0.096555081,0.115902906,0.140057405,0.095837857,0.46545847,0.312945317,0.330260773,0.438175225,0.259001874,0.828376077,0.252031983,0.270455589,0.132097453,0.353359436,0.099356828,0.105274404,0.195887788,0.342472746,0.209150887,0.047929773,0.12254527,0.08198631,0.131381621,0.132635259,0.23692558,0.214951687,0.207008126,0.706018503,0.255685388,0.337949327,0.139129292,0.207420582,0.125271829,0.157190609,0.389564678
3,17,39830,0.266275742,0.176192333,0.160936426,0.347230146,0.297823975,0.380945956,0.198449201,0.243252796,0.517604117,0.556337971,0.267140958,0.562855961,0.397447707,0.304208392,0.198530134,0.276315982,0.347357231,0.37831391,0.192322676,0.180459663,0.202990493,0.325610693,0.169828009,0.309367228,0.196581527,0.412224031,0.198217984,0.246765877,0.303877325,0.178248717,0.236597277,0.201592824,0.265807277,0.222375565,0.347248831,0.135081378,0.129699589,0.195674432,0.487132613,0.232729992,0.252488775,0.261585349,0.49488677,0.148842061,0.184933201,0.202086016,0.186335156,0.537183583,0.406539593,0.453554422,0.51935369,0.356648432,0.863155023,0.332033696,0.375977611,0.228533334,0.417572951,0.199675976,0.210704669,0.281321591,0.462769005,0.296824089,0.092596248,0.24445858,0.140152306,0.20719262,0.268229825,0.322741615,0.291584454,0.338597326,0.749859218,0.340687418,0.416189474,0.226670509,0.279028253,0.248544776,0.254824293,0.447477397
4,25,39838,0.366417735,0.230285999,0.246791916,0.433175048,0.392503443,0.468142357,0.24661601,0.343761359,0.587478622,0.618709919,0.35094229,0.635579195,0.508605179,0.397413155,0.262396267,0.369955521,0.424109395,0.511150612,0.283451906,0.268067956,0.306030687,0.410285099,0.248040791,0.39786938,0.297791706,0.493606632,0.278562954,0.345455505,0.397411585,0.246613765,0.351387613,0.306638543,0.390031255,0.316939767,0.441797002,0.205505758,0.197744748,0.285535567,0.561288863,0.345048185,0.341402038,0.345964344,0.583308634,0.203586767,0.257723758,0.260665592,0.276762994,0.608001114,0.497586562,0.574147864,0.597131267,0.451704271,0.922156941,0.414610605,0.476653589,0.323403276,0.483275602,0.29907651,0.313988706,0.359541887,0.569468316,0.385860919,0.137761099,0.359517964,0.203775305,0.281634633,0.399719236,0.410697985,0.369762892,0.459948917,0.789434721,0.425810691,0.494838717,0.311797632,0.353470771,0.363968303,0.353784345,0.507049317
5,33,39846,0.464736482,0.278992948,0.336200736,0.509068669,0.479837615,0.54981305,0.293894184,0.433731305,0.645854554,0.677783224,0.430294829,0.700181281,0.61048079,0.485490234,0.323623323,0.458560265,0.500451421,0.628940559,0.374673113,0.356613043,0.407275147,0.487877753,0.335347825,0.485683124,0.397464988,0.569707168,0.356264441,0.437656696,0.477077098,0.311819257,0.457285965,0.410115416,0.501243828,0.407753509,0.533355639,0.276590179,0.266662467,0.368537807,0.625340668,0.451010683,0.4251208,0.423224526,0.665296266,0.258963602,0.33216442,0.31241996,0.364908655,0.676921955,0.582344323,0.68791316,0.668189417,0.539864414,0.953621264,0.496824837,0.567490549,0.411909917,0.549569273,0.39566307,0.412784562,0.423463871,0.6542942,0.47268271,0.181192,0.461501456,0.27116632,0.351979741,0.520039026,0.495779357,0.447525251,0.56321035,0.821467657,0.508027128,0.56915349,0.391639996,0.429766134,0.466281434,0.451862776,0.565220843
6,41,39854,0.556543031,0.322108808,0.425444442,0.574554702,0.556397318,0.6229349,0.339109706,0.509929475,0.692402288,0.727390739,0.502792922,0.754230647,0.696035611,0.565240552,0.380369617,0.537923158,0.571482243,0.724923293,0.460422793,0.441904502,0.50182908,0.556125575,0.426010922,0.568624817,0.490320773,0.636694102,0.429564481,0.520783806,0.536443556,0.371621218,0.549626103,0.507438522,0.597149413,0.491627301,0.618771964,0.346051351,0.333708818,0.441882973,0.676790471,0.546331748,0.50088837,0.490747309,0.737124544,0.313219071,0.404470322,0.357549927,0.448177018,0.74164682,0.656883526,0.788935495,0.72758131,0.616818682,0.958027366,0.573683645,0.645737038,0.490963856,0.613926955,0.487482577,0.504590837,0.471528835,0.712982369,0.552501877,0.222557527,0.545150426,0.338662588,0.416563179,0.622559529,0.573599446,0.521164197,0.641731571,0.845978698,0.583432716,0.635966589,0.462645755,0.504395745,0.55258144,0.544221314,0.618729462
7,49,39862,0.636605643,0.360373797,0.509936408,0.630391485,0.619142924,0.684552452,0.381233424,0.56972727,0.727872984,0.765858774,0.566285723,0.795605185,0.757721953,0.633672654,0.43100301,0.603603928,0.632003755,0.79245792,0.534705266,0.519323762,0.58414463,0.613136368,0.513359584,0.642002566,0.570450643,0.690627965,0.496762085,0.592632861,0.576680433,0.424017094,0.624736217,0.593720908,0.676187288,0.56540397,0.69472371,0.411291521,0.395716184,0.502790521,0.713564744,0.626362732,0.566329645,0.546294059,0.795048588,0.36461771,0.47043792,0.397150546,0.523877358,0.799548882,0.717227958,0.870853332,0.769953045,0.678255591,0.948914606,0.639680565,0.709201984,0.557902684,0.673414418,0.572567528,0.586866269,0.503559596,0.742271585,0.620228603,0.262001483,0.609059586,0.402107904,0.47398597,0.702390255,0.639929231,0.586535998,0.693672525,0.863813018,0.647904462,0.692504902,0.521092767,0.573206856,0.620555152,0.625364117,0.664261932
8,57,39870,0.699692582,0.394528137,0.585090003,0.677337357,0.665034803,0.731710249,0.419236189,0.610496093,0.753017804,0.791513637,0.618622384,0.822182783,0.78799213,0.687795081,0.473891362,0.651162305,0.676817854,0.824903548,0.591524851,0.58425225,0.648673942,0.657017937,0.590723316,0.701124481,0.631946182,0.727569291,0.556156263,0.650999886,0.600857152,0.467004329,0.679193103,0.66407562,0.736796726,0.625926343,0.757888608,0.469712935,0.449516947,0.54847991,0.733589961,0.68645499,0.619069527,0.587626145,0.83532352,0.411424051,0.525863675,0.43231687,0.589318953,0.848001311,0.759401408,0.927305134,0.789950718,0.719863659,0.939822342,0.689309134,0.755694314,0.610063991,0.725097432,0.648950415,0.657069595,0.519378971,0.738900608,0.670773076,0.299667669,0.652786981,0.45734606,0.522849136,0.755075509,0.69053969,0.639496924,0.718395651,0.875815795,0.69731937,0.735995317,0.563258889,0.63204672,0.667889405,0.689795344,0.698505012
9,65,39878,0.74187469,0.425362336,0.646768586,0.716136959,0.691873243,0.762367983,0.452332218,0.630853693,0.768649455,0.803844711,0.658742877,0.832385108,0.782457811,0.725519626,0.507898187,0.677718673,0.702267647,0.818598001,0.626880267,0.63320524,0.691498644,0.686567684,0.652414277,0.742471481,0.670639127,0.745032492,0.606296427,0.694162733,0.612043134,0.499354209,0.709573558,0.715371055,0.778356297,0.670723146,0.805745199,0.519357709,0.492601976,0.577279441,0.735572389,0.723679478,0.658014629,0.613326836,0.855277513,0.452377238,0.56772916,0.46382189,0.642402934,0.88442403,0.780691615,0.953752585,0.78384093,0.73881515,0.941058488,0.718882353,0.783584027,0.645947123,0.766521335,0.714797858,0.713074713,0.519813735,0.702198135,0.700402879,0.33550106,0.675890657,0.501535907,0.561999984,0.776159599,0.722225867,0.676924594,0.715263391,0.882423411,0.728381066,0.764763986,0.58662151,0.67769361,0.693534852,0.733367818,0.719002984
10,73,39886,0.764433135,0.453868065,0.692635462,0.747480142,0.700818195,0.77814593,0.480709214,0.634403218,0.775826821,0.806993676,0.689950436,0.826808931,0.749368112,0.748371082,0.533869622,0.686636033,0.710861091,0.781793962,0.64474782,0.667233391,0.715218316,0.703341412,0.696675264,0.767215726,0.689321832,0.746347509,0.646733585,0.722326544,0.613001653,0.522933383,0.714195603,0.751497,0.804001738,0.700066697,0.83897527,0.560827453,0.525096072,0.591952778,0.721337471,0.741985577,0.687198429,0.625267016,0.856530954,0.488114846,0.597756427,0.491150343,0.683397852,0.906423957,0.783442124,0.952950237,0.754372283,0.738217317,0.950005169,0.731991097,0.793485397,0.668698442,0.797149747,0.768812961,0.754416159,0.509706503,0.641852606,0.710815197,0.368651327,0.679064601,0.537096514,0.591270962,0.763665121,0.735879074,0.69978202,0.685096598,0.882437066,0.741099648,0.78153412,0.593456154,0.710649888,0.701497446,0.757329032,0.726730236
