Day,Day2,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_3332
1,40179,2,1,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,4,26,5,26,6,0,0,1,0,0,12,2,0,0,0,3,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,8,1,4,0,2,3,0,4,0,2,0,1,0,7,31
15,40193,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,5,22,10,18,4,0,0,2,0,0,9,3,2,0,1,5,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,0,4,0,3,0,1,2,0,0,11,28
29,40207,0,0,0,0,4,1,0,0,1,1,0,0,1,1,0,0,0,0,7,8,12,9,5,1,2,1,0,0,4,2,4,1,0,7,6,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,2,0,0,5,0,1,1,2,1,1,1,2,21
43,40221,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,11,9,19,13,4,1,1,1,0,0,9,4,2,0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,4,2,2,0,0,1,0,1,1,0,3,0,0,0,32
57,40235,1,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,1,0,4,13,8,21,3,0,3,1,0,1,9,4,0,0,0,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,5,0,1,0,1,3,1,2,2,1,2,0,1,1,29
71,40249,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,15,18,12,4,0,0,2,0,1,16,4,2,0,1,6,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,2,9,0,0,3,0,2,0,0,1,0,2,2,30
85,40263,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,7,25,18,13,4,0,1,6,0,1,9,2,1,0,1,10,5,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,0,5,3,0,0,0,0,1,0,0,1,31
99,40277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,18,15,17,2,0,1,2,0,2,9,3,4,2,2,2,2,1,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,2,0,3,2,1,2,0,1,4,32
113,40291,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,25,18,15,1,2,2,4,0,1,10,4,3,1,1,3,5,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,4,1,3,0,2,4,0,3,3,1,0,1,0,18,33
127,40305,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,18,20,16,5,0,1,0,0,1,8,1,1,4,0,5,11,1,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,4,3,1,1,2,1,0,0,0,6,36
141,40319,1,0,0,0,2,0,1,0,1,1,0,0,1,0,0,1,0,0,5,30,20,15,4,1,1,1,0,0,9,1,5,2,2,1,5,0,0,1,2,0,11,1,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,6,3,3,3,0,1,0,0,1,0,0,2,35
