Date,Scaled_BetaHL_Pred
2012-01-02,5.8687468
2012-01-03,5.920498
2012-01-04,5.972249
2012-01-05,6.0166073
2012-01-06,6.0609655
2012-01-07,6.1016273
2012-01-08,6.1385927
2012-01-09,6.1718607
2012-01-10,6.201433
2012-01-11,6.2310057
2012-01-12,6.260577
2012-01-13,6.2864532
2012-01-14,6.282757
2012-01-15,6.2568808
2012-01-16,6.2310057
2012-01-17,6.208826
2012-01-18,6.1866474
2012-01-19,6.164468
2012-01-20,6.1459856
2012-01-21,6.131199
2012-01-22,6.116413
2012-01-23,6.1016273
2012-01-24,6.083144
2012-01-25,6.072055
2012-01-26,6.0609655
2012-01-27,6.046179
2012-01-28,6.046179
2012-01-29,6.0535727
2012-01-30,6.0609655
2012-01-31,6.064662
2012-02-01,6.0683584
2012-02-02,6.072055
2012-02-03,6.0757513
2012-02-04,6.083144
2012-02-05,6.083144
2012-02-06,6.090537
2012-02-07,6.0942345
2012-02-08,6.097931
2012-02-09,6.1016273
2012-02-10,6.1016273
2012-02-11,6.0609655
2012-02-12,5.9833384
2012-02-13,5.905711
2012-02-14,5.835478
2012-02-15,5.776334
2012-02-16,5.7134924
2012-02-17,5.658045
2012-02-18,5.6062937
2012-02-19,5.550846
2012-02-20,5.5027914
2012-02-21,5.465826
2012-02-22,5.421468
2012-02-23,5.3845024
2012-02-24,5.3512335
2012-02-25,5.3734126
2012-02-26,5.4436464
2012-02-27,5.5101843
2012-02-28,5.5693283
2012-02-29,5.6284723
2012-03-01,5.68392
2012-03-02,5.7319756
2012-03-03,5.776334
2012-03-04,5.820692
2012-03-05,5.861354
2012-03-06,5.894622
2012-03-07,5.931587
2012-03-08,5.9611597
2012-03-09,5.9907312
2012-03-10,5.9352837
2012-03-11,5.7911196
2012-03-12,5.658045
2012-03-13,5.5360594
2012-03-14,5.4177713
2012-03-15,5.3105717
2012-03-16,5.210766
2012-03-17,5.1146564
2012-03-18,5.02594
2012-03-19,4.94092
2012-03-20,4.863293
2012-03-21,4.789363
2012-03-22,4.7191286
2012-03-23,4.656288
2012-03-24,4.634109
2012-03-25,4.6488953
2012-03-26,4.663681
2012-03-27,4.6784673
2012-03-28,4.6932535
2012-03-29,4.704343
2012-03-30,4.715432
2012-03-31,4.726522
2012-04-01,4.737612
2012-04-02,4.7450047
2012-04-03,4.7523975
2012-04-04,4.7597904
2012-04-05,4.7671833
2012-04-06,4.7782736
2012-04-07,4.8448105
2012-04-08,4.974189
2012-04-09,5.092478
2012-04-10,5.2070694
2012-04-11,5.306875
2012-04-12,5.402985
2012-04-13,5.4880047
2012-04-14,5.5693283
