Date,Scaled_BetaHL_Pred
2012-01-02,4.5752964
2012-01-03,4.6203985
2012-01-04,4.6429496
2012-01-05,4.688052
2012-01-06,4.710603
2012-01-07,4.7557054
2012-01-08,4.7782564
2012-01-09,4.7782564
2012-01-10,4.8233585
2012-01-11,4.84591
2012-01-12,4.891012
2012-01-13,4.891012
2012-01-14,4.891012
2012-01-15,4.891012
2012-01-16,4.84591
2012-01-17,4.84591
2012-01-18,4.8233585
2012-01-19,4.7782564
2012-01-20,4.7782564
2012-01-21,4.7782564
2012-01-22,4.7782564
2012-01-23,4.7557054
2012-01-24,4.7557054
2012-01-25,4.710603
2012-01-26,4.710603
2012-01-27,4.710603
2012-01-28,4.710603
2012-01-29,4.710603
2012-01-30,4.710603
2012-01-31,4.710603
2012-02-01,4.710603
2012-02-02,4.710603
2012-02-03,4.7557054
2012-02-04,4.7557054
2012-02-05,4.7557054
2012-02-06,4.7557054
2012-02-07,4.7557054
2012-02-08,4.7557054
2012-02-09,4.7557054
2012-02-10,4.7557054
2012-02-11,4.710603
2012-02-12,4.688052
2012-02-13,4.6203985
2012-02-14,4.5301943
2012-02-15,4.5076427
2012-02-16,4.4625406
2012-02-17,4.439989
2012-02-18,4.372336
2012-02-19,4.327234
2012-02-20,4.3046827
2012-02-21,4.2595806
2012-02-22,4.214478
2012-02-23,4.214478
2012-02-24,4.191927
2012-02-25,4.191927
2012-02-26,4.2595806
2012-02-27,4.3046827
2012-02-28,4.372336
2012-02-29,4.394887
2012-03-01,4.439989
2012-03-02,4.4625406
2012-03-03,4.5076427
2012-03-04,4.5301943
2012-03-05,4.5752964
2012-03-06,4.6203985
2012-03-07,4.6203985
2012-03-08,4.6429496
2012-03-09,4.688052
2012-03-10,4.6429496
2012-03-11,4.5076427
2012-03-12,4.439989
2012-03-13,4.327234
2012-03-14,4.214478
2012-03-15,4.146825
2012-03-16,4.079171
2012-03-17,4.0115175
2012-03-18,3.9438643
2012-03-19,3.8762112
2012-03-20,3.8085577
2012-03-21,3.7634554
2012-03-22,3.695802
2012-03-23,3.6506996
2012-03-24,3.6506996
2012-03-25,3.6506996
2012-03-26,3.6506996
2012-03-27,3.695802
2012-03-28,3.695802
2012-03-29,3.695802
2012-03-30,3.695802
2012-03-31,3.7409043
2012-04-01,3.7409043
2012-04-02,3.7409043
2012-04-03,3.7409043
2012-04-04,3.7409043
2012-04-05,3.7634554
2012-04-06,3.7634554
2012-04-07,3.8085577
2012-04-08,3.8987622
2012-04-09,3.9664154
2012-04-10,4.079171
2012-04-11,4.146825
2012-04-12,4.214478
2012-04-13,4.3046827
2012-04-14,4.372336
2012-04-15,4.439989
2012-04-16,4.4625406
2012-04-17,4.5076427
2012-04-18,4.5752964
2012-04-19,4.6203985
2012-04-20,4.6429496
2012-04-21,4.688052
2012-04-22,4.688052
2012-04-23,4.710603
2012-04-24,4.710603
2012-04-25,4.7557054
2012-04-26,4.7782564
2012-04-27,4.7782564
2012-04-28,4.7782564
2012-04-29,4.7782564
2012-04-30,4.8233585
2012-05-01,4.84591
2012-05-02,4.84591
2012-05-03,4.84591
2012-05-04,4.84591
2012-05-05,4.8233585
2012-05-06,4.7557054
2012-05-07,4.710603
2012-05-08,4.6429496
2012-05-09,4.5752964
2012-05-10,4.5301943
2012-05-11,4.4625406
2012-05-12,4.439989
2012-05-13,4.394887
2012-05-14,4.372336
2012-05-15,4.327234
2012-05-16,4.3046827
2012-05-17,4.2595806
2012-05-18,4.214478
2012-05-19,4.214478
2012-05-20,4.214478
2012-05-21,4.2595806
2012-05-22,4.2595806
2012-05-23,4.2595806
2012-05-24,4.3046827
2012-05-25,4.3046827
2012-05-26,4.3046827
2012-05-27,4.3046827
2012-05-28,4.3046827
2012-05-29,4.327234
2012-05-30,4.327234
2012-05-31,4.327234
2012-06-01,4.327234
2012-06-02,4.439989
2012-06-03,4.688052
2012-06-04,4.84591
2012-06-05,5.026319
2012-06-06,5.206728
2012-06-07,5.342035
2012-06-08,5.499893
2012-06-09,5.6351995
2012-06-10,5.770506
2012-06-11,5.8832617
2012-06-12,5.973467
2012-06-13,6.0862226
2012-06-14,6.1989784
2012-06-15,6.266631
2012-06-16,6.379387
2012-06-17,6.4470406
2012-06-18,6.537245
2012-06-19,6.6048985
2012-06-20,6.717654
2012-06-21,6.785308
2012-06-22,6.8529606
2012-06-23,6.9206142
2012-06-24,6.9657164
2012-06-25,7.03337
2012-06-26,7.1010237
2012-06-27,7.146126
2012-06-28,7.1686773
2012-06-29,7.2137794
2012-06-30,7.3265343
2012-07-01,7.4167395
2012-07-02,7.5294952
2012-07-03,7.642251
2012-07-04,7.7324553
2012-07-05,7.800109
2012-07-06,7.9128647
2012-07-07,7.9805174
2012-07-08,8.048171
2012-07-09,8.138376
2012-07-10,8.206029
2012-07-11,8.22858
2012-07-12,8.296233
2012-07-13,8.341335
2012-07-14,8.363887
2012-07-15,8.363887
2012-07-16,8.363887
2012-07-17,8.363887
2012-07-18,8.363887
2012-07-19,8.408989
2012-07-20,8.408989
2012-07-21,8.408989
2012-07-22,8.408989
2012-07-23,8.408989
2012-07-24,8.454091
2012-07-25,8.454091
2012-07-26,8.454091
2012-07-27,8.454091
2012-07-28,8.363887
2012-07-29,8.206029
2012-07-30,8.048171
2012-07-31,7.957967
2012-08-01,7.800109
2012-08-02,7.7099037
2012-08-03,7.597148
2012-08-04,7.484392
2012-08-05,7.394188
2012-08-06,7.3265343
2012-08-07,7.2137794
2012-08-08,7.146126
2012-08-09,7.078472
2012-08-10,7.0108185
2012-08-11,6.9206142
2012-08-12,6.8529606
2012-08-13,6.785308
2012-08-14,6.717654
2012-08-15,6.6500006
2012-08-16,6.582347
2012-08-17,6.537245
2012-08-18,6.469591
2012-08-19,6.4019384
2012-08-20,6.379387
2012-08-21,6.334285
2012-08-22,6.2891827
2012-08-23,6.266631
2012-08-24,6.1989784
2012-08-25,6.1989784
2012-08-26,6.221529
2012-08-27,6.266631
2012-08-28,6.266631
2012-08-29,6.266631
2012-08-30,6.2891827
2012-08-31,6.2891827
2012-09-01,6.334285
2012-09-02,6.334285
2012-09-03,6.334285
2012-09-04,6.334285
2012-09-05,6.334285
2012-09-06,6.379387
2012-09-07,6.379387
2012-09-08,6.4019384
2012-09-09,6.469591
2012-09-10,6.5146933
2012-09-11,6.582347
2012-09-12,6.6048985
2012-09-13,6.6500006
2012-09-14,6.6951027
2012-09-15,6.717654
2012-09-16,6.7627563
2012-09-17,6.785308
2012-09-18,6.83041
2012-09-19,6.8529606
2012-09-20,6.8529606
2012-09-21,6.8980637
2012-09-22,7.0108185
2012-09-23,7.1686773
2012-09-24,7.3265343
2012-09-25,7.4618416
2012-09-26,7.597148
2012-09-27,7.7324553
2012-09-28,7.845211
2012-09-29,7.957967
2012-09-30,8.02562
2012-10-01,8.138376
2012-10-02,8.22858
2012-10-03,8.296233
2012-10-04,8.363887
2012-10-05,8.454091
2012-10-06,8.61195
2012-10-07,8.905114
2012-10-08,9.175728
2012-10-09,9.423791
2012-10-10,9.649302
2012-10-11,9.897364
2012-10-12,10.0552225
2012-10-13,10.280734
2012-10-14,10.41604
2012-10-15,10.59645
2012-10-16,10.731756
2012-10-17,10.8670635
2012-10-18,11.00237
2012-10-19,11.115126
2012-10-20,11.160229
2012-10-21,11.115126
2012-10-22,11.047473
2012-10-23,11.047473
2012-10-24,11.00237
2012-10-25,10.979819
2012-10-26,10.934717
2012-10-27,10.912166
2012-10-28,10.912166
2012-10-29,10.8670635
2012-10-30,10.844512
2012-10-31,10.79941
2012-11-01,10.79941
2012-11-02,10.776859
2012-11-03,10.6641035
2012-11-04,10.41604
2012-11-05,10.21308
2012-11-06,9.987569
2012-11-07,9.784609
2012-11-08,9.604199
2012-11-09,9.423791
2012-11-10,9.2433815
2012-11-11,9.108075
2012-11-12,8.972768
2012-11-13,8.860012
2012-11-14,8.724705
2012-11-15,8.61195
2012-11-16,8.521745
2012-11-17,8.341335
2012-11-18,8.138376
2012-11-19,7.957967
