Date,Scaled_BetaHL_Pred
2012-01-02,1.6990578
2012-01-03,1.6990578
2012-01-04,1.6428738
2012-01-05,1.6428738
2012-01-06,1.6428738
2012-01-07,1.6428738
2012-01-08,1.6428738
2012-01-09,1.6428738
2012-01-10,1.6428738
2012-01-11,1.6428738
2012-01-12,1.6428738
2012-01-13,1.6990578
2012-01-14,1.6990578
2012-01-15,1.7552419
2012-01-16,1.7552419
2012-01-17,1.7552419
2012-01-18,1.811426
2012-01-19,1.811426
2012-01-20,1.7552419
2012-01-21,1.7552419
2012-01-22,1.6990578
2012-01-23,1.6428738
2012-01-24,1.5866896
2012-01-25,1.5866896
2012-01-26,1.6428738
2012-01-27,1.6428738
2012-01-28,1.6428738
2012-01-29,1.6428738
2012-01-30,1.6428738
2012-01-31,1.6428738
2012-02-01,1.6990578
2012-02-02,1.7552419
2012-02-03,1.811426
2012-02-04,1.9237943
2012-02-05,1.9799783
2012-02-06,2.0361624
2012-02-07,2.0923464
2012-02-08,2.2047148
2012-02-09,2.317083
2012-02-10,2.2047148
2012-02-11,2.0923464
2012-02-12,1.9799783
2012-02-13,1.9237943
2012-02-14,1.811426
2012-02-15,1.7552419
2012-02-16,1.6428738
2012-02-17,1.5305055
2012-02-18,1.5305055
2012-02-19,1.5305055
2012-02-20,1.5305055
2012-02-21,1.5305055
2012-02-22,1.5866896
2012-02-23,1.5866896
2012-02-24,1.5866896
2012-02-25,1.5866896
2012-02-26,1.6428738
2012-02-27,1.6428738
2012-02-28,1.6428738
2012-02-29,1.6428738
2012-03-01,1.6428738
2012-03-02,1.6990578
2012-03-03,1.6990578
2012-03-04,1.6990578
2012-03-05,1.6990578
2012-03-06,1.6990578
2012-03-07,1.6990578
2012-03-08,1.7552419
2012-03-09,1.7552419
2012-03-10,1.7552419
2012-03-11,1.7552419
2012-03-12,1.7552419
2012-03-13,1.8676101
2012-03-14,1.9237943
2012-03-15,1.9799783
2012-03-16,2.0923464
2012-03-17,2.1485305
2012-03-18,2.2047148
2012-03-19,2.317083
2012-03-20,2.373267
2012-03-21,2.317083
2012-03-22,2.2047148
2012-03-23,2.1485305
2012-03-24,2.0923464
2012-03-25,1.9799783
2012-03-26,1.9237943
2012-03-27,1.8676101
2012-03-28,1.7552419
2012-03-29,1.7552419
2012-03-30,1.7552419
2012-03-31,1.6990578
2012-04-01,1.6990578
2012-04-02,1.6990578
2012-04-03,1.6990578
2012-04-04,1.6428738
2012-04-05,1.6428738
2012-04-06,1.6428738
2012-04-07,1.6428738
2012-04-08,1.6428738
2012-04-09,1.6990578
2012-04-10,1.6990578
2012-04-11,1.6990578
2012-04-12,1.6990578
2012-04-13,1.6990578
2012-04-14,1.7552419
2012-04-15,1.8676101
2012-04-16,1.9799783
2012-04-17,2.0361624
2012-04-18,2.1485305
2012-04-19,2.2047148
2012-04-20,2.317083
2012-04-21,2.429451
2012-04-22,2.317083
2012-04-23,2.2047148
2012-04-24,2.1485305
2012-04-25,2.0361624
2012-04-26,1.9799783
2012-04-27,1.8676101
2012-04-28,1.7552419
2012-04-29,1.6990578
2012-04-30,1.6990578
2012-05-01,1.6428738
2012-05-02,1.6428738
2012-05-03,1.6428738
2012-05-04,1.5866896
2012-05-05,1.5305055
2012-05-06,1.5305055
2012-05-07,1.5305055
2012-05-08,1.5305055
2012-05-09,1.5866896
2012-05-10,1.6428738
2012-05-11,1.6990578
2012-05-12,1.6990578
2012-05-13,1.7552419
2012-05-14,1.811426
2012-05-15,1.8676101
2012-05-16,1.8676101
2012-05-17,1.9237943
2012-05-18,1.9237943
2012-05-19,1.9799783
2012-05-20,1.9799783
2012-05-21,2.0361624
2012-05-22,2.0923464
2012-05-23,2.0923464
2012-05-24,2.2047148
2012-05-25,2.317083
2012-05-26,2.429451
2012-05-27,2.5418193
2012-05-28,2.6541877
2012-05-29,2.7103715
2012-05-30,2.8227398
2012-05-31,2.935108
2012-06-01,2.935108
2012-06-02,2.935108
2012-06-03,2.935108
2012-06-04,2.935108
2012-06-05,2.991292
2012-06-06,2.991292
2012-06-07,2.991292
2012-06-08,2.991292
2012-06-09,3.8340535
2012-06-10,4.676815
2012-06-11,5.519577
2012-06-12,6.3061543
2012-06-13,7.0927315
2012-06-14,7.9354925
2012-06-15,8.7782545
2012-06-16,9.564832
2012-06-17,9.677199
2012-06-18,9.789569
2012-06-19,9.901937
2012-06-20,10.014304
2012-06-21,10.126674
2012-06-22,10.239041
2012-06-23,10.407594
2012-06-24,10.463778
2012-06-25,9.6210165
2012-06-26,8.7782545
2012-06-27,7.9354925
2012-06-28,7.0927315
2012-06-29,6.1937857
2012-06-30,5.3510246
2012-07-01,4.452079
2012-07-02,3.609317
2012-07-03,4.1711583
2012-07-04,4.676815
2012-07-05,5.238656
2012-07-06,5.800497
2012-07-07,6.3061543
2012-07-08,6.8679953
2012-07-09,7.4298363
2012-07-10,7.9354925
2012-07-11,8.834438
2012-07-12,9.789569
2012-07-13,10.800882
2012-07-14,11.699827
2012-07-15,12.654958
2012-07-16,13.610087
2012-07-17,14.509033
2012-07-18,15.464163
2012-07-19,14.677586
2012-07-20,14.003376
2012-07-21,13.216798
2012-07-22,12.486405
2012-07-23,11.756012
2012-07-24,10.969435
2012-07-25,10.239041
2012-07-26,9.452464
2012-07-27,8.946807
2012-07-28,8.384966
2012-07-29,7.823125
2012-07-30,7.3174677
2012-07-31,6.8118105
2012-08-01,6.2499695
2012-08-02,5.7443132
2012-08-03,5.182472
2012-08-04,4.9577355
2012-08-05,4.7891836
2012-08-06,4.564447
2012-08-07,4.33971
2012-08-08,4.2273426
2012-08-09,4.002606
2012-08-10,3.7778695
2012-08-11,3.5531332
2012-08-12,4.7891836
2012-08-13,6.0252333
2012-08-14,7.3174677
2012-08-15,8.497334
2012-08-16,9.733384
2012-08-17,10.91325
2012-08-18,12.205484
2012-08-19,13.38535
2012-08-20,12.654958
2012-08-21,11.924564
2012-08-22,11.194171
2012-08-23,10.463778
2012-08-24,9.677199
2012-08-25,9.002991
2012-08-26,8.2164135
2012-08-27,7.542205
2012-08-28,7.9354925
2012-08-29,8.384966
2012-08-30,8.834438
2012-08-31,9.3400955
2012-09-01,9.789569
2012-09-02,10.239041
2012-09-03,10.688514
2012-09-04,11.137987
2012-09-05,10.463778
2012-09-06,9.789569
2012-09-07,9.115359
2012-09-08,8.384966
2012-09-09,7.7107563
2012-09-10,7.0365477
2012-09-11,6.3061543
2012-09-12,5.6881294
2012-09-13,6.7556267
2012-09-14,7.823125
2012-09-15,8.946807
2012-09-16,10.014304
2012-09-17,11.081802
2012-09-18,12.205484
2012-09-19,13.272983
2012-09-20,14.340481
2012-09-21,14.171928
2012-09-22,14.003376
2012-09-23,13.77864
2012-09-24,13.610087
2012-09-25,13.38535
2012-09-26,13.216798
2012-09-27,12.992063
2012-09-28,12.82351
2012-09-29,13.160615
2012-09-30,13.441535
2012-10-01,13.77864
2012-10-02,14.115745
2012-10-03,14.396665
2012-10-04,14.733769
2012-10-05,15.01469
2012-10-06,15.351794
2012-10-07,15.127058
2012-10-08,14.846138
2012-10-09,14.621401
2012-10-10,14.340481
2012-10-11,14.171928
2012-10-12,13.891007
2012-10-13,13.610087
2012-10-14,13.38535
2012-10-15,12.542589
2012-10-16,11.699827
2012-10-17,10.91325
2012-10-18,10.014304
2012-10-19,9.171543
2012-10-20,8.272597
2012-10-21,7.48602
2012-10-22,6.643258
2012-10-23,6.4747057
2012-10-24,6.3061543
2012-10-25,6.1937857
2012-10-26,6.0252333
2012-10-27,5.9690495
2012-10-28,5.800497
2012-10-29,5.6881294
2012-10-30,5.575761
2012-10-31,5.4633923
2012-11-01,5.3510246
2012-11-02,5.238656
2012-11-03,5.126288
2012-11-04,5.01392
2012-11-05,4.9015512
2012-11-06,4.7891836
2012-11-07,4.676815
2012-11-08,4.395895
2012-11-09,4.1711583
2012-11-10,3.8340535
2012-11-11,3.5531332
2012-11-12,3.2722125
2012-11-13,2.935108
2012-11-14,2.6541877
2012-11-15,2.429451
2012-11-16,2.317083
2012-11-17,2.2608988
2012-11-18,2.1485305
2012-11-19,2.0361624
2012-11-20,1.9799783
2012-11-21,1.8676101
2012-11-22,1.7552419
2012-11-23,1.6990578
2012-11-24,1.8676101
2012-11-25,2.0361624
2012-11-26,2.2608988
2012-11-27,2.429451
2012-11-28,2.5980034
2012-11-29,2.7103715
2012-11-30,2.935108
2012-12-01,3.0474763
2012-12-02,2.935108
2012-12-03,2.7665558
2012-12-04,2.6541877
2012-12-05,2.5418193
2012-12-06,2.317083
2012-12-07,2.2047148
2012-12-08,2.0361624
2012-12-09,1.8676101
2012-12-10,2.0361624
2012-12-11,2.1485305
2012-12-12,2.2608988
2012-12-13,2.429451
2012-12-14,2.5418193
2012-12-15,2.6541877
2012-12-16,2.7665558
2012-12-17,2.935108
2012-12-18,2.7103715
2012-12-19,2.6541877
2012-12-20,2.4856353
2012-12-21,2.317083
2012-12-22,2.2047148
2012-12-23,2.0361624
2012-12-24,1.8676101
2012-12-25,1.6990578
2012-12-26,1.6990578
2012-12-27,1.6990578
