Date,Scaled_BetaHL_Pred
2012-01-02,1.4181373
2012-01-03,1.4181373
2012-01-04,1.7237368
2012-01-05,1.7237368
2012-01-06,1.7237368
2012-01-07,1.7237368
2012-01-08,1.7237368
2012-01-09,1.7237368
2012-01-10,1.7237368
2012-01-11,1.7237368
2012-01-12,1.7237368
2012-01-13,1.8765366
2012-01-14,1.8765366
2012-01-15,1.8765366
2012-01-16,1.8765366
2012-01-17,1.8765366
2012-01-18,1.8765366
2012-01-19,2.182136
2012-01-20,2.182136
2012-01-21,2.182136
2012-01-22,1.8765366
2012-01-23,1.8765366
2012-01-24,1.8765366
2012-01-25,1.8765366
2012-01-26,2.182136
2012-01-27,2.182136
2012-01-28,2.182136
2012-01-29,2.182136
2012-01-30,2.182136
2012-01-31,2.182136
2012-02-01,2.182136
2012-02-02,2.3349357
2012-02-03,2.3349357
2012-02-04,2.3349357
2012-02-05,2.6405354
2012-02-06,2.6405354
2012-02-07,2.6405354
2012-02-08,2.793335
2012-02-09,2.793335
2012-02-10,2.793335
2012-02-11,2.6405354
2012-02-12,2.6405354
2012-02-13,2.3349357
2012-02-14,2.3349357
2012-02-15,2.3349357
2012-02-16,2.182136
2012-02-17,2.182136
2012-02-18,2.182136
2012-02-19,2.182136
2012-02-20,2.182136
2012-02-21,2.182136
2012-02-22,2.182136
2012-02-23,2.182136
2012-02-24,2.182136
2012-02-25,2.182136
2012-02-26,2.182136
2012-02-27,2.182136
2012-02-28,2.182136
2012-02-29,2.182136
2012-03-01,2.182136
2012-03-02,2.182136
2012-03-03,2.182136
2012-03-04,2.182136
2012-03-05,2.182136
2012-03-06,2.182136
2012-03-07,2.182136
2012-03-08,2.182136
2012-03-09,2.182136
2012-03-10,2.182136
2012-03-11,2.182136
2012-03-12,2.3349357
2012-03-13,2.3349357
2012-03-14,2.3349357
2012-03-15,2.3349357
2012-03-16,2.6405354
2012-03-17,2.6405354
2012-03-18,2.793335
2012-03-19,2.793335
2012-03-20,2.793335
2012-03-21,2.793335
2012-03-22,2.793335
2012-03-23,2.793335
2012-03-24,2.793335
2012-03-25,2.793335
2012-03-26,2.6405354
2012-03-27,2.6405354
2012-03-28,2.6405354
2012-03-29,2.6405354
2012-03-30,2.6405354
2012-03-31,2.6405354
2012-04-01,2.6405354
2012-04-02,2.6405354
2012-04-03,2.793335
2012-04-04,2.793335
2012-04-05,2.793335
2012-04-06,2.793335
2012-04-07,2.793335
2012-04-08,2.793335
2012-04-09,2.793335
2012-04-10,2.793335
2012-04-11,3.0989347
2012-04-12,3.0989347
2012-04-13,3.0989347
2012-04-14,3.2517343
2012-04-15,3.2517343
2012-04-16,3.5573337
2012-04-17,3.5573337
2012-04-18,3.7101336
2012-04-19,3.7101336
2012-04-20,3.7101336
2012-04-21,4.015733
2012-04-22,4.015733
2012-04-23,4.015733
2012-04-24,3.7101336
2012-04-25,3.7101336
2012-04-26,3.7101336
2012-04-27,3.7101336
2012-04-28,3.7101336
2012-04-29,3.7101336
2012-04-30,3.7101336
2012-05-01,3.7101336
2012-05-02,3.7101336
2012-05-03,3.7101336
2012-05-04,3.7101336
2012-05-05,3.7101336
2012-05-06,3.7101336
2012-05-07,3.7101336
2012-05-08,3.7101336
2012-05-09,3.7101336
2012-05-10,4.015733
2012-05-11,4.015733
2012-05-12,4.015733
2012-05-13,4.015733
2012-05-14,4.168533
2012-05-15,4.168533
2012-05-16,4.168533
2012-05-17,4.168533
2012-05-18,4.168533
2012-05-19,4.168533
2012-05-20,4.4741325
2012-05-21,4.4741325
2012-05-22,4.4741325
2012-05-23,4.626932
2012-05-24,4.626932
2012-05-25,4.626932
2012-05-26,4.9325314
2012-05-27,4.9325314
2012-05-28,5.085331
2012-05-29,5.085331
2012-05-30,5.390931
2012-05-31,5.390931
2012-06-01,5.390931
2012-06-02,5.390931
2012-06-03,5.390931
2012-06-04,5.5437307
2012-06-05,5.5437307
2012-06-06,5.5437307
2012-06-07,5.5437307
2012-06-08,5.5437307
2012-06-09,6.154929
2012-06-10,7.0717278
2012-06-11,7.8357267
2012-06-12,8.446926
2012-06-13,9.210924
2012-06-14,10.127723
2012-06-15,10.738922
2012-06-16,11.502921
2012-06-17,11.502921
2012-06-18,11.655721
2012-06-19,11.655721
2012-06-20,11.96132
2012-06-21,11.96132
2012-06-22,12.1141205
2012-06-23,12.1141205
2012-06-24,12.41972
2012-06-25,11.502921
2012-06-26,10.738922
2012-06-27,10.127723
2012-06-28,9.210924
2012-06-29,8.446926
2012-06-30,7.8357267
2012-07-01,6.918928
2012-07-02,6.0021296
2012-07-03,6.4605293
2012-07-04,7.0717278
2012-07-05,7.377328
2012-07-06,7.8357267
2012-07-07,8.294126
2012-07-08,8.752525
2012-07-09,9.210924
2012-07-10,9.8221245
2012-07-11,10.5861225
2012-07-12,11.502921
2012-07-13,12.1141205
