Date,Scaled_BetaHL_Pred
2012-01-02,6.5554323
2012-01-03,6.613846
2012-01-04,6.6681604
2012-01-05,6.7193995
2012-01-06,6.7655153
2012-01-07,6.8085566
2012-01-08,6.8505735
2012-01-09,6.886441
2012-01-10,6.9212847
2012-01-11,6.955103
2012-01-12,6.9848213
2012-01-13,7.012491
2012-01-14,7.010442
2012-01-15,6.9807224
2012-01-16,6.955103
2012-01-17,6.9294825
2012-01-18,6.904888
2012-01-19,6.8833675
2012-01-20,6.8638964
2012-01-21,6.8434
2012-01-22,6.8259783
2012-01-23,6.810607
2012-01-24,6.7942095
2012-01-25,6.778838
2012-01-26,6.7655153
2012-01-27,6.754243
2012-01-28,6.7511683
2012-01-29,6.759367
2012-01-30,6.7655153
2012-01-31,6.772689
2012-02-01,6.777813
2012-02-02,6.782937
2012-02-03,6.787036
2012-02-04,6.79216
2012-02-05,6.797284
2012-02-06,6.800359
2012-02-07,6.8044577
2012-02-08,6.8085566
2012-02-09,6.810607
2012-02-10,6.815731
2012-02-11,6.7706394
2012-02-12,6.6835318
2012-02-13,6.600524
2012-02-14,6.5226393
2012-02-15,6.451928
2012-02-16,6.3832674
2012-02-17,6.320755
2012-02-18,6.2613163
2012-02-19,6.2070026
2012-02-20,6.153713
2012-02-21,6.105548
2012-02-22,6.060457
2012-02-23,6.0194654
2012-02-24,5.979498
2012-02-25,6.003068
2012-02-26,6.0840273
2012-02-27,6.156788
2012-02-28,6.226474
2012-02-29,6.2910357
2012-03-01,6.348424
2012-03-02,6.403763
2012-03-03,6.455003
2012-03-04,6.5011187
2012-03-05,6.5462093
2012-03-06,6.5851517
2012-03-07,6.624094
2012-03-08,6.6579123
2012-03-09,6.6917305
2012-03-10,6.6271687
2012-03-11,6.4713993
2012-03-12,6.325879
2012-03-13,6.1885567
2012-03-14,6.059432
2012-03-15,5.938506
2012-03-16,5.8237295
2012-03-17,5.718176
2012-03-18,5.6177454
2012-03-19,5.523464
2012-03-20,5.4353323
2012-03-21,5.354373
2012-03-22,5.2764893
2012-03-23,5.2037287
2012-03-24,5.1791334
2012-03-25,5.196555
2012-03-26,5.213977
2012-03-27,5.2303734
2012-03-28,5.2436953
2012-03-29,5.2580423
2012-03-30,5.2693152
2012-03-31,5.281613
2012-04-01,5.292886
2012-04-02,5.303134
