Date,Scaled_BetaHL_Pred
2012-01-02,4.9703236
2012-01-03,5.0178976
2012-01-04,5.057543
2012-01-05,5.097188
2012-01-06,5.136832
2012-01-07,5.1685486
2012-01-08,5.1923356
2012-01-09,5.2319803
2012-01-10,5.2557673
2012-01-11,5.2716255
2012-01-12,5.2954125
2012-01-13,5.3271284
2012-01-14,5.3271284
2012-01-15,5.2954125
2012-01-16,5.2716255
2012-01-17,5.2557673
2012-01-18,5.2478385
2012-01-19,5.2161226
2012-01-20,5.208194
2012-01-21,5.1923356
2012-01-22,5.1764774
2012-01-23,5.1685486
2012-01-24,5.152691
2012-01-25,5.136832
2012-01-26,5.136832
2012-01-27,5.1289034
2012-01-28,5.1289034
2012-01-29,5.1289034
2012-01-30,5.1289034
2012-01-31,5.136832
2012-02-01,5.136832
2012-02-02,5.152691
2012-02-03,5.152691
2012-02-04,5.152691
2012-02-05,5.152691
2012-02-06,5.1685486
2012-02-07,5.1685486
2012-02-08,5.1685486
2012-02-09,5.1685486
2012-02-10,5.1685486
2012-02-11,5.136832
2012-02-12,5.0734005
2012-02-13,5.0099688
2012-02-14,4.938608
2012-02-15,4.891034
2012-02-16,4.835531
2012-02-17,4.795886
2012-02-18,4.740383
2012-02-19,4.7007384
2012-02-20,4.6610937
2012-02-21,4.6214485
2012-02-22,4.5976615
2012-02-23,4.558017
2012-02-24,4.5342298
2012-02-25,4.5421586
2012-02-26,4.6135197
2012-02-27,4.6610937
2012-02-28,4.7165966
2012-02-29,4.772099
2012-03-01,4.811744
2012-03-02,4.851389
2012-03-03,4.891034
2012-03-04,4.9306793
2012-03-05,4.9703236
2012-03-06,4.994111
2012-03-07,5.0178976
2012-03-08,5.049614
2012-03-09,5.0734005
2012-03-10,5.0178976
2012-03-11,4.898963
2012-03-12,4.795886
2012-03-13,4.692809
2012-03-14,4.5818033
2012-03-15,4.502514
2012-03-16,4.4152946
2012-03-17,4.336005
2012-03-18,4.2646437
2012-03-19,4.185354
2012-03-20,4.13778
2012-03-21,4.0664196
2012-03-22,4.0188456
2012-03-23,3.9633424
2012-03-24,3.9474845
2012-03-25,3.9474845
2012-03-26,3.9633424
2012-03-27,3.9792004
2012-03-28,3.9871294
2012-03-29,4.0029874
2012-03-30,4.0029874
2012-03-31,4.0188456
2012-04-01,4.0267744
2012-04-02,4.0267744
2012-04-03,4.042632
2012-04-04,4.042632
2012-04-05,4.0584903
2012-04-06,4.0584903
2012-04-07,4.1060643
2012-04-08,4.21707
2012-04-09,4.320147
2012-04-10,4.4152946
2012-04-11,4.4945846
2012-04-12,4.5738745
2012-04-13,4.653165
2012-04-14,4.7165966
2012-04-15,4.7800283
2012-04-16,4.835531
2012-04-17,4.891034
2012-04-18,4.938608
2012-04-19,4.994111
2012-04-20,5.0337563
2012-04-21,5.0734005
2012-04-22,5.0892587
2012-04-23,5.1130457
2012-04-24,5.136832
2012-04-25,5.152691
2012-04-26,5.1685486
2012-04-27,5.1923356
2012-04-28,5.208194
2012-04-29,5.2161226
2012-04-30,5.2319803
2012-05-01,5.2478385
2012-05-02,5.2557673
2012-05-03,5.2716255
2012-05-04,5.2716255
2012-05-05,5.2478385
2012-05-06,5.1685486
2012-05-07,5.097188
2012-05-08,5.0337563
2012-05-09,4.9703236
2012-05-10,4.914821
2012-05-11,4.859318
2012-05-12,4.811744
2012-05-13,4.772099
2012-05-14,4.7165966
2012-05-15,4.6769514
2012-05-16,4.637306
